Date,AAPL,FB,NVDA,PYPL,SHOP,SQ,TDOC,TSLA,TWTR,Z
2017-02-22,83347600,27360100,10844300,4316200,1198400,12329800,518000,43775000,13606200,1569300
2017-02-23,83152800,18422500,39822200,5456300,1469700,43946600,577800,74576000,15304500,1164600
2017-02-24,87106400,12625700,25747600,6769500,1168400,15892300,918800,40858000,9139800,1242400
2017-02-27,81029600,14306700,17885000,5026700,1534300,12652700,1084900,57304000,13645500,1716800
2017-02-28,93931600,16112100,15634000,6956800,1134200,12769700,1481200,30390500,10874200,1393300
2017-03-01,145658400,16257000,12620100,6003800,1101800,13025600,1095100,24047500,18165300,1804400
2017-03-02,104844000,12294800,18858300,4572300,964100,7293700,1957000,16759000,12401100,768900
2017-03-03,84432400,11160600,21617300,4214400,989300,13050500,1002700,14597000,15194500,719500
2017-03-06,87000000,12748200,22089200,6032800,698500,6005700,642400,16777500,11464000,584200
2017-03-07,69785200,13527100,15085000,4404700,1083400,5762700,1046600,17297500,16718600,864800
2017-03-08,74828800,10184500,15967800,4573900,875100,3872100,775400,18626000,12657100,447100
2017-03-09,88623600,15535300,11951500,3487900,995900,5693700,845700,19396500,10963500,924100
2017-03-10,78451200,16314100,12493500,4636200,1218000,4865600,783500,15331500,13703000,601600
2017-03-13,69686800,10955500,19353400,5526900,1003200,3718000,602300,15113000,8727500,756100
2017-03-14,61236400,12944000,13050400,5888000,701800,3950500,390100,37992000,15046500,659100
2017-03-15,102767200,19344800,15375900,4291800,882300,4548700,870200,26654000,19381800,760100
2017-03-16,76928000,13612900,13077500,3998600,541000,8838400,595100,35661000,11665900,739000
2017-03-17,175540000,20592800,27992200,12307900,1494600,5680700,1398800,32487500,10989800,617100
2017-03-20,86168000,12099500,18714200,6686900,1805900,4596100,724300,18071500,12501900,603400
2017-03-21,158119600,29894800,22837100,7758400,3630400,6379900,1044800,34543000,19099000,1528900
