,AAPL,FB,NVDA,PYPL,SHOP,SQ,TDOC,TSLA,TWTR,Z
,close,close,close,close,close,close,close,close,close,close
Date,,,,,,,,,,
2020-02-07,80.00749969482422,212.3300018310547,251.58999633789062,118.87999725341797,478.69000244140625,78.86000061035156,105.83999633789062,149.61399841308594,37.029998779296875,50.16999816894531
2020-02-10,80.38749694824219,213.05999755859375,262.9700012207031,120.05999755859375,491.69000244140625,80.16999816894531,109.69999694824219,154.25599670410156,35.959999084472656,50.45000076293945
2020-02-11,79.90249633789062,207.19000244140625,267.8900146484375,118.83999633789062,492.75,79.87999725341797,110.43000030517578,154.87600708007812,35.650001525878906,50.83000183105469
2020-02-12,81.80000305175781,210.75999450683594,272.5400085449219,118.55999755859375,531.25,80.0,110.0,153.45799255371094,36.790000915527344,50.66999816894531
2020-02-13,81.21749877929688,213.13999938964844,270.7799987792969,120.51000213623047,532.969970703125,80.98999786376953,112.0199966430664,160.8000030517578,37.15999984741211,51.709999084472656
2020-02-14,81.23750305175781,214.17999267578125,289.7900085449219,122.98999786376953,531.219970703125,81.86000061035156,111.7699966430664,160.00599670410156,36.90999984741211,51.849998474121094
2020-02-18,79.75,217.8000030517578,296.57000732421875,122.2699966430664,536.4099731445312,82.41999816894531,117.23999786376953,171.67999267578125,38.060001373291016,52.279998779296875
2020-02-19,80.90499877929688,217.49000549316406,314.70001220703125,123.91000366210938,543.2100219726562,85.23999786376953,117.36000061035156,183.48399353027344,38.77000045776367,54.470001220703125
2020-02-20,80.07499694824219,214.5800018310547,308.70001220703125,122.43000030517578,535.5800170898438,85.69999694824219,115.9000015258789,179.8820037841797,39.04999923706055,63.630001068115234
2020-02-21,78.26249694824219,210.17999267578125,294.07000732421875,119.48999786376953,520.6599731445312,83.48999786376953,113.54000091552734,180.1999969482422,38.310001373291016,65.0
2020-02-24,74.54499816894531,200.72000122070312,273.2799987792969,116.44000244140625,490.9599914550781,80.20999908447266,114.26000213623047,166.75799560546875,35.88999938964844,59.689998626708984
2020-02-25,72.0199966430664,196.77000427246094,262.04998779296875,109.66000366210938,466.4599914550781,77.05000305175781,118.4000015258789,159.98199462890625,35.209999084472656,57.779998779296875
2020-02-26,73.1624984741211,197.1999969482422,267.6499938964844,109.11000061035156,471.17999267578125,76.58999633789062,116.86000061035156,155.75999450683594,34.630001068115234,57.08000183105469
2020-02-27,68.37999725341797,189.75,252.60000610351562,107.83999633789062,438.3699951171875,79.30999755859375,135.14999389648438,135.8000030517578,33.0099983215332,54.619998931884766
2020-02-28,68.33999633789062,192.47000122070312,270.07000732421875,107.98999786376953,463.30999755859375,83.33000183105469,124.95999908447266,133.59800720214844,33.20000076293945,55.810001373291016
2020-03-02,74.70249938964844,196.44000244140625,276.42999267578125,112.86000061035156,488.3999938964844,80.66999816894531,124.48999786376953,148.7239990234375,35.81999969482422,54.400001525878906
2020-03-03,72.33000183105469,185.88999938964844,265.8900146484375,109.76000213623047,476.94000244140625,78.83999633789062,123.58000183105469,149.1020050048828,34.93000030517578,53.209999084472656
2020-03-04,75.68499755859375,191.75999450683594,284.510009765625,115.30000305175781,512.22998046875,79.26000213623047,124.63999938964844,149.89999389648438,36.0,54.25
2020-03-05,73.2300033569336,185.1699981689453,273.2900085449219,112.18000030517578,498.2200012207031,76.31999969482422,134.3300018310547,144.9080047607422,34.970001220703125,51.54999923706055
2020-03-06,72.25749969482422,181.08999633789062,266.0400085449219,110.88999938964844,472.07000732421875,73.08999633789062,135.89999389648438,140.6959991455078,33.459999084472656,49.349998474121094
2020-03-09,66.5425033569336,169.5,245.44000244140625,101.62999725341797,418.32000732421875,65.7300033569336,133.5399932861328,121.5999984741211,32.459999084472656,44.970001220703125
2020-03-10,71.33499908447266,178.19000244140625,261.0799865722656,109.73999786376953,450.3399963378906,67.23999786376953,146.07000732421875,129.0659942626953,34.310001373291016,45.38999938964844
2020-03-11,68.85749816894531,170.24000549316406,246.47000122070312,103.9000015258789,422.30999755859375,62.439998626708984,137.39999389648438,126.84600067138672,31.299999237060547,41.4900016784668
2020-03-12,62.057498931884766,154.47000122070312,216.30999755859375,96.95999908447266,377.7799987792969,53.56999969482422,118.80000305175781,112.11000061035156,26.780000686645508,35.529998779296875
2020-03-13,69.49250030517578,170.27999877929688,240.83999633789062,110.1500015258789,390.8999938964844,57.77000045776367,127.94999694824219,109.3239974975586,29.290000915527344,36.34000015258789
2020-03-16,60.5525016784668,146.00999450683594,196.39999389648438,92.72000122070312,322.2900085449219,41.27000045776367,116.73999786376953,89.01399993896484,24.040000915527344,28.670000076293945
2020-03-17,63.21500015258789,149.4199981689453,217.27000427246094,97.87000274658203,355.0899963378906,44.72999954223633,118.23999786376953,86.04000091552734,24.479999542236328,28.1200008392334
2020-03-18,61.66749954223633,146.9600067138672,202.82000732421875,91.45999908447266,336.8299865722656,39.5,136.92999267578125,72.24400329589844,22.0,25.010000228881836
2020-03-19,61.19499969482422,153.1300048828125,212.97000122070312,93.69000244140625,332.5,40.0,139.6300048828125,85.52799987792969,24.1299991607666,26.31999969482422
2020-03-20,57.310001373291016,149.72999572753906,205.75,86.68000030517578,346.05999755859375,38.09000015258789,141.74000549316406,85.50599670410156,23.950000762939453,27.190000534057617
2020-03-23,56.092498779296875,148.10000610351562,212.69000244140625,85.26000213623047,375.3900146484375,40.0099983215332,167.44000244140625,86.85800170898438,24.690000534057617,31.219999313354492
2020-03-24,61.720001220703125,160.97999572753906,249.17999267578125,97.29000091552734,430.0,46.310001373291016,162.02000427246094,101.0,25.850000381469727,36.81999969482422
2020-03-25,61.380001068115234,156.2100067138672,245.6199951171875,95.70999908447266,446.6000061035156,52.38999938964844,142.11000061035156,107.8499984741211,25.969999313354492,39.88999938964844
2020-03-26,64.61000061035156,163.33999633789062,257.239990234375,100.62999725341797,447.4100036621094,56.029998779296875,159.5,105.63200378417969,26.40999984741211,40.779998779296875
2020-03-27,61.935001373291016,156.7899932861328,252.72999572753906,93.4800033569336,421.6199951171875,53.34000015258789,164.16000366210938,102.87200164794922,25.290000915527344,37.939998626708984
2020-03-30,63.70249938964844,165.9499969482422,265.5899963378906,97.02999877929688,430.3800048828125,55.0,163.55999755859375,100.4260025024414,25.59000015258789,37.060001373291016
2020-03-31,63.5724983215332,166.8000030517578,263.6000061035156,95.73999786376953,416.92999267578125,52.380001068115234,155.00999450683594,104.80000305175781,24.559999465942383,36.02000045776367
2020-04-01,60.227500915527344,159.60000610351562,243.07000732421875,91.37999725341797,384.6700134277344,46.810001373291016,162.52999877929688,96.31199645996094,23.31999969482422,31.440000534057617
2020-04-02,61.23249816894531,158.19000244140625,255.47000122070312,93.5199966430664,346.29998779296875,45.880001068115234,159.32000732421875,90.89399719238281,23.020000457763672,30.1299991607666
2020-04-03,60.352500915527344,154.17999267578125,243.91000366210938,92.38999938964844,357.6499938964844,43.720001220703125,156.2100067138672,96.00199890136719,23.09000015258789,30.309999465942383
2020-04-06,65.61750030517578,165.5500030517578,268.3999938964844,101.66999816894531,392.6499938964844,50.41999816894531,150.1300048828125,103.24800109863281,24.93000030517578,37.119998931884766
2020-04-07,64.85749816894531,168.8300018310547,259.0299987792969,100.27999877929688,378.5400085449219,50.310001373291016,141.25,109.08999633789062,25.610000610351562,37.79999923706055
2020-04-08,66.51750183105469,174.27999877929688,266.95001220703125,105.05999755859375,414.510009765625,57.040000915527344,139.10000610351562,109.76799774169922,27.860000610351562,39.189998626708984
2020-04-09,66.99749755859375,175.19000244140625,262.95001220703125,105.83999633789062,417.739990234375,59.209999084472656,146.66000366210938,114.5999984741211,27.770000457763672,40.630001068115234
2020-04-13,68.3125,174.7899932861328,269.8500061035156,105.9800033569336,447.45001220703125,59.41999816894531,154.1300048828125,130.19000244140625,27.209999084472656,38.439998626708984
2020-04-14,71.76249694824219,178.1699981689453,283.95001220703125,109.78500366210938,496.05999755859375,62.40999984741211,157.3300018310547,141.97799682617188,27.940000534057617,38.689998626708984
2020-04-15,71.10749816894531,176.97000122070312,280.8399963378906,107.94999694824219,497.1700134277344,61.380001068115234,171.77000427246094,145.96600341796875,27.510000228881836,36.11000061035156
2020-04-16,71.67250061035156,176.25,294.70001220703125,108.30999755859375,526.4299926757812,57.31999969482422,174.25,149.04200744628906,26.549999237060547,33.36000061035156
2020-04-17,70.69999694824219,179.24000549316406,292.32000732421875,111.8499984741211,590.3900146484375,61.09000015258789,173.27000427246094,150.7779998779297,26.700000762939453,36.33000183105469
2020-04-20,69.23249816894531,178.24000549316406,287.04998779296875,112.16999816894531,629.9000244140625,61.060001373291016,181.4600067138672,149.27200317382812,27.010000228881836,36.459999084472656
2020-04-21,67.09249877929688,170.8000030517578,269.510009765625,107.54000091552734,585.0,57.400001525878906,172.38999938964844,137.343994140625,25.75,36.20000076293945
2020-04-22,69.0250015258789,182.27999877929688,286.1499938964844,115.19000244140625,626.5599975585938,60.959999084472656,179.64999389648438,146.4219970703125,28.440000534057617,38.720001220703125
2020-04-23,68.75749969482422,185.1300048828125,284.010009765625,115.23999786376953,620.489990234375,61.81999969482422,187.72999572753906,141.12600708007812,27.860000610351562,38.34000015258789
2020-04-24,70.74250030517578,190.07000732421875,289.5899963378906,120.18000030517578,643.1900024414062,62.0099983215332,193.52999877929688,145.02999877929688,28.739999771118164,40.70500183105469
2020-04-27,70.7925033569336,187.5,297.0799865722656,120.52999877929688,628.5800170898438,63.54999923706055,194.88999938964844,159.75,30.0,43.0099983215332
2020-04-28,69.6449966430664,182.91000366210938,291.3599853515625,116.13999938964844,633.6500244140625,61.75,181.14999389648438,153.82400512695312,28.790000915527344,42.15999984741211
2020-04-29,71.93250274658203,194.19000244140625,298.4599914550781,123.58000183105469,639.989990234375,65.7699966430664,175.10000610351562,160.1020050048828,31.09000015258789,45.619998931884766
2020-04-30,73.44999694824219,204.7100067138672,292.2799987792969,123.0,632.2899780273438,65.13999938964844,164.58999633789062,156.37600708007812,28.68000030517578,43.959999084472656
2020-05-01,72.26750183105469,202.27000427246094,282.7799987792969,120.61000061035156,613.6400146484375,63.0,169.42999267578125,140.26400756835938,27.84000015258789,42.459999084472656
2020-05-04,73.29000091552734,205.25999450683594,291.2900085449219,123.66000366210938,658.8900146484375,63.689998626708984,174.3000030517578,152.23800659179688,28.229999542236328,42.59000015258789
2020-05-05,74.38999938964844,207.07000732421875,293.739990234375,125.43000030517578,686.1099853515625,66.69000244140625,169.58999633789062,153.64199829101562,28.06999969482422,43.599998474121094
2020-05-06,75.15750122070312,208.47000122070312,297.7900085449219,128.30999755859375,733.530029296875,68.0999984741211,176.00999450683594,156.51600646972656,27.68000030517578,43.43000030517578
2020-05-07,75.93499755859375,211.25999450683594,304.8699951171875,146.2899932861328,722.760009765625,74.62000274658203,174.92999267578125,156.00799560546875,28.770000457763672,48.560001373291016
2020-05-08,77.53250122070312,212.35000610351562,312.5,144.9600067138672,708.969970703125,76.05000305175781,176.5,163.88400268554688,29.93000030517578,52.970001220703125
2020-05-11,78.75250244140625,213.17999267578125,322.6199951171875,143.9600067138672,750.3400268554688,74.9000015258789,190.6199951171875,162.25799560546875,29.690000534057617,55.7599983215332
2020-05-12,77.85250091552734,210.10000610351562,312.1000061035156,141.02999877929688,742.280029296875,75.20999908447266,184.14999389648438,161.8820037841797,29.149999618530273,49.220001220703125
2020-05-13,76.9124984741211,205.10000610351562,311.20001220703125,143.72999572753906,754.3800048828125,73.79000091552734,188.19000244140625,158.19200134277344,28.1299991607666,46.529998779296875
2020-05-14,77.38500213623047,206.80999755859375,321.2200012207031,144.41000366210938,754.2899780273438,78.19999694824219,179.5399932861328,160.66600036621094,28.559999465942383,47.459999084472656
2020-05-15,76.92749786376953,210.8800048828125,339.6300048828125,145.50999450683594,767.0,80.26000213623047,184.22999572753906,159.83399963378906,29.0,48.779998779296875
2020-05-18,78.73999786376953,213.19000244140625,350.010009765625,146.24000549316406,738.02001953125,76.62999725341797,172.1999969482422,162.7259979248047,29.639999389648438,49.619998931884766
2020-05-19,78.28500366210938,216.8800048828125,352.2200012207031,145.38999938964844,753.010009765625,79.25,175.66000366210938,161.6020050048828,29.8799991607666,51.09000015258789
2020-05-20,79.80750274658203,229.97000122070312,358.79998779296875,150.94000244140625,778.0,82.04000091552734,171.27000427246094,163.11199951171875,32.22999954223633,54.04999923706055
2020-05-21,79.2125015258789,231.38999938964844,351.010009765625,148.22000122070312,802.3499755859375,81.48999786376953,174.99000549316406,165.52000427246094,32.34000015258789,54.15999984741211
2020-05-22,79.72250366210938,234.91000366210938,361.04998779296875,150.86000061035156,825.1699829101562,81.48999786376953,174.17999267578125,163.37600708007812,32.619998931884766,56.5
2020-05-26,79.18250274658203,232.1999969482422,348.7099914550781,147.0,767.8900146484375,80.79000091552734,164.47000122070312,163.7740020751953,34.0099983215332,58.869998931884766
2020-05-27,79.52749633789062,229.13999938964844,341.010009765625,145.9600067138672,750.0,81.0199966430664,162.63999938964844,164.04600524902344,33.06999969482422,59.04999923706055
2020-05-28,79.5625,225.4600067138672,339.4800109863281,148.7899932861328,744.4299926757812,79.62000274658203,166.89999389648438,161.16200256347656,31.600000381469727,57.369998931884766
2020-05-29,79.48500061035156,225.08999633789062,355.0199890136719,155.00999450683594,757.7999877929688,81.08000183105469,174.05999755859375,167.0,30.969999313354492,57.9900016784668
